Building,Building Number,Abbreviation,Precint,City,Floor Plan,FCI,LEED Level,LEED Certification Year,Gross SF,Year Built,Age,Resident or Non-resident,Ownership,Estimated Replacement Cost,Last Renovation Cost,Last Renovation Year,Building Condition,Air Cond,Accessibel Area,Assignable Area,Building Cost,Number of Floors,Last Update,Address
"Weed Control Lab ""B""",166B,WCB,Central,Raleigh,166b.pdf,,,,1090,1967,50,1,1,169877,,,3,1,0,1044,7826,1,14,3121 Ligon St.
"Weed Control Lab ""C""",166C,WCC,Central,Raleigh,166c.pdf,,,,1090,1967,50,1,1,114946,,,3,1,0,1044,7826,1,14,3121 Ligon St.
"Weed Control Lab ""D""",166D,WCD,Central,Raleigh,166d.pdf,,,,1275,1981,36,1,1,131086,,,2,1,0,1201,31875,1,14,3121 Ligon St.
Weed Control Lab B,,,,,,0.18,,,1090,,,,,,,,,,,,,,,
Weed Control Lab C,,,,,,0.12,,,1090,,,,,,,,,,,,,,,
Weed Control Lab D,,,,,,0.23,,,1275,,,,,,,,,,,,,,,
Weed Control Lab Storage,167,WCA,Central,Raleigh,167.pdf,0.18,,,1758,1967,50,1,1,180747,,,2,1,1471,1471,39000,1,14,3111 Ligon St.
Weisiger-Brown Ath Fac,111,WB,Central,Raleigh,111.pdf,,,,75074,1982,35,1,1,22540675,587422,13,1,6,54665,54719,2641555,2,14,2500 Warren Carroll Dr.
Welch Residence Hall,13,WEL,North,Raleigh,13.pdf,,,,11703,1930,87,2,1,3538905,204420,7,2,6,0,7951,104000,4,14,80 Pullen Dr.
Well House #1 - Reidsville,860Q,Z45,Outlying,Reidsville,,,,,128,1930,87,1,1,10838,,,5,1,0,0,120,1,14,1944 Wentworth Rd.
Well House #2 - Reidsville,860R,Z46,Outlying,Reidsville,,,,,96,1930,87,1,1,8127,,,1,1,0,0,96,1,14,1944 Wentworth Rd.
Well House #3 - Reidsville,860S,Z47,Outlying,Reidsville,,,,,80,1930,87,1,1,6773,,,5,1,0,0,80,1,14,1944 Wentworth Rd.
Well House #4(Upiedmont),861A,Z56,Outlying,Reidsville,,,,,120,1930,87,1,1,10160,,,5,1,0,90,100,1,14,1944 Wentworth Rd.
Well House UFL,,,,,,0.22,,,27,,,,,,,,,,,,,,,
Well House UFL 49,409,W1,West,Raleigh,409.pdf,,,,27,1987,30,1,1,2776,,,1,1,0,0,260,1,14,4301 Beryl Rd.
well Pump House,,,,,,0.36,,,131,,,,,,,,,,,,,,,
Well Pump Hse UFL 46,406,PUM,West,Raleigh,406.pdf,,,,131,1974,43,1,1,11091,,,2,1,0,0,420,1,14,4301 Beryl Rd.
Well Pumphouse - TEU UFL 2101-Lake Wheeler,813K,X86,Lake Wheeler Site,Raleigh,,,,,103,1985,32,1,1,8720,,,1,1,0,0,850,1,14,4601 Mid Pines Rd.
Well Pumphouse UFL 105-Reedy Creek,820G,Y26,Reedy Creek,Raleigh,,,,,102,1990,27,1,1,8636,,,1,1,0,0,1200,1,14,5100 Reedy Creek Rd.
Well Pumphouse UFL 116G-Reedy Creek,820P,Y33,Reedy Creek,Raleigh,,,,,96,1968,49,1,1,8127,,,2,1,0,0,472,1,14,4905 Reedy Creek Rd.
Well Pumphouse UFL 124 - Reedy Creek,820U,Y38,Reedy Creek,Raleigh,,,,,148,1936,81,1,1,12530,,,2,1,0,0,150,1,14,2150 Trenton Rd.
Well Pumphouse UFL 132,820Z,Y43,Reedy Creek,Raleigh,,,,,38,1986,31,1,1,3218,,,1,1,0,0,460,1,14,4616 Reedy Creek Rd.
Well Pumphouse UFL 135-Reedy Creek,821B,Y46,Reedy Creek,Raleigh,,,,,154,1961,56,1,1,13039,,,2,1,0,0,450,1,14,2100 Trenton Rd.
Well Pumphouse UFL 143-Reedy Creek,821G,Y51,Reedy Creek,Raleigh,,,,,154,1948,69,1,1,13039,,,2,1,0,0,250,1,14,4903 Reedy Creek Rd.
Well Pumphouse UFL 148-Reedy Creek,821L,Y55,Reedy Creek,Raleigh,,,,,140,1948,69,1,1,11854,,,2,1,0,0,300,1,14,4616 Reedy Creek Rd.
Well Pumphouse UFL 157-Reedy Creek,821Q,Y59,Reedy Creek,Raleigh,,,,,96,1968,49,1,1,8127,,,1,1,0,0,600,1,,5900 Trinity Rd.
Well Pumphouse UFL 163-Reedy Creek,821T,Y62,Reedy Creek,Raleigh,,,,,96,1972,45,1,1,8127,,,1,1,0,0,400,1,14,5900 Trinity Rd.
Well Pumphouse UFL 192-Reedy Creek,822H,Y77,Reedy Creek,Raleigh,,,,,134,1982,35,1,1,11345,,,1,1,0,0,920,1,14,2001 Trenton Rd.
Well Pumphouse UFL 215-Lake Wheeler,810S,X18,Lake Wheeler Site,Raleigh,,,,,102,1967,50,1,1,8636,,,2,1,0,0,600,1,14,4091 Chi Rd.
Well Pumphouse UFL 225-Lake Wheeler,811,X26,Lake Wheeler Site,Raleigh,,,,,64,1953,64,1,1,5418,,,2,1,0,0,150,1,14,3919 Inwood Rd.
Well Pumphouse UFL 226-Lake Wheeler,811A,X27,Lake Wheeler Site,Raleigh,,,,,102,1952,65,1,1,8636,,,2,1,0,0,150,1,14,3720 Lake Wheeler Rd.
Well Pumphouse UFL 261-Lake Wheeler,812,X51,Lake Wheeler Site,Raleigh,,,,,68,1950,67,1,1,5757,,,2,1,0,0,200,1,14,4620 Lake Wheeler Rd.
Well Pumphouse UFL 265-Lake Wheeler,812D,X55,Lake Wheeler Site,Raleigh,,,,,64,1952,65,1,1,5418,,,2,1,0,0,200,1,14,4405 Lake Wheeler Rd.
Well Pumphouse UFL 282-Lake Wheeler,812U,X70,Lake Wheeler Site,Raleigh,,,,,298,1979,38,1,1,25232,13040,93,1,1,0,0,1024,1,14,3908 Inwood Rd.
Well Pumphouse UFL 283-Lake Wheeler,812V,X71,Lake Wheeler Site,Raleigh,,,,,132,1978,39,1,1,11177,,,1,1,0,0,600,1,14,4523 Broiler Rd.
Well Pumphouse UFL 809-Aurora,849H,Q78,Outlying,Aurora,,,,,88,1993,24,1,1,7451,,,1,1,0,0,2500,1,14,2002 Hickory Point Rd.
Well Pumphouse UFL2117-Lake Wheeler,813Y,X99,Lake Wheeler Site,Raleigh,,,,,64,1987,30,1,1,5418,,,1,1,0,0,1200,1,14,3902 Coefficient Rd.
Wendell H. Murphy Football Ctr,135F,WMF,West,Raleigh,135f.pdf,,,,108776,2003,14,1,1,40650330,,,1,6,68912,69019,24573078,4,14,4600 Trinity Rd.
West Barn - CVM,303,VTC,West,Raleigh,303.pdf,,,,,,,,,,,,,,,,,,,4725 Terry Curtin Dr.
West Chiller Plant,223,WCP,Central,Raleigh,223.pdf,-,,,7704,2004,13,1,1,5650516,,,1,6,1173,1173,4282000,2,14,2761 Wolf Village Way
West Dunn Building,83,WDB,Central,Raleigh,83.pdf,0.34,,,8690,1958,59,1,1,2708673,132000,91,2,5,4917,6200,105000,2,14,2901 Thurman Dr.
West Lot Parking Deck,216A,PW1,Central,Raleigh,216a.pdf,,,,292662,2011,6,1,1,12573500,,,1,1,2282,2282,9900000,5,14,1125 Varsity Dr.
West Research Annex A,,,,,,0.41,,,5100,,,,,,,,,,,,,,,
West Research Annex B,,,,,,0.84,,,3602,,,,,,,,,,,,,,,
Westchase III,989,WC3,West,Raleigh,989.pdf,,,,,,,,,,,,,,,,,,,4011 Westchase Blvd.
Western Blvd. Business Services,131,WBS,South,Raleigh,131.pdf,,,,12398,1953,64,1,1,4273938,200000,91,4,5,4524,6559,85000,2,14,1220 Varsity Dr.
Western Manor Apartments ABC,281,WMA,South,Raleigh,281.pdf,,,,12327,1965,52,2,1,2089595,,,3,6,9126,9126,1193580,3,14,1551 Lilley Ct.
Western Manor Apartments DEF,282,WMD,South,Raleigh,282.pdf,,,,12327,1965,52,2,1,2089595,,,3,6,9126,9126,1193580,3,14,1531 Lilley Ct.
Western Manor Apartments GH,283,WMG,South,Raleigh,283.pdf,,,,14720,1965,52,2,1,2778145,,,3,6,11636,11636,1586880,2,14,1521 Lilley Ct.
Western Manor Apartments IJ,284,WMI,South,Raleigh,284.pdf,,,,14720,1965,52,2,1,2778145,,,3,6,11636,11636,1586880,2,14,1500 Lilley Ct.
Western Manor Apartments K,285,WMK,South,Raleigh,285.pdf,,,,7844,1965,52,2,1,1408232,,,3,6,6534,6534,804384,2,14,1510 Lilley Ct.
Western Manor Apartments L,286,WML,South,Raleigh,286.pdf,,,,7844,1965,52,2,1,1408232,,,3,6,0,6534,804384,2,14,1520 Lilley Ct.
Western Manor Apartments M,287,WMM,South,Raleigh,287.pdf,,,,7844,1965,52,2,1,1408232,,,3,6,0,6534,804384,2,14,1530 Lilley Ct.
Western Manor Apartments NO,288,WMN,South,Raleigh,288.pdf,,,,14720,1965,52,2,1,3030703,,,3,6,5818,11636,1586880,2,14,1540 Lilley Ct.
Western Manor Apartments PQ,289,WMP,South,Raleigh,289.pdf,,,,14720,1965,52,2,1,3030703,,,3,6,5424,11636,1586880,2,14,1550 Lilley Ct.
Williams Hall,62,WMS,North,Raleigh,62.pdf,,,,136395,1952,65,1,1,26419523,520534,1,3,6,81650,81672,8473000,6,14,101 Derieux Pl.
WILLIAMSDALE FARM DW,858C,,,,,,,,1970,1937,80,2,1,202543,,,3,6,0,1962,29550,1,14,
Williamsdale Farm Main Dwelling,858A,WF1,Outlying,Wallace,,,,,2650,1937,80,2,1,272457,,,3,6,0,2644,39750,1,14,7660 S. NC Hwy 41
Williamson Hall,,,,,,0.38,,,136393,,,,,,,,,,,,,,,
Winslow Hall,4,WSL,North,Raleigh,4.pdf,0.03,,,14051,1897,120,1,1,5108555,,,1,6,6941,7214,35000,3,14,40 Pullen Dr.
Winston Hall,23,WN,North,Raleigh,23.pdf,0.28,,,461841,1910,107,1,1,15919884,1849950,88,3,6,23755,24374,258000,4,14,2301 Hillsborough St.
Withers Hall,43,WI,North,Raleigh,43.pdf,0.01,,,71420,1939,78,1,1,24620472,9420247,6,2,5,42174,42481,325000,4,14,101 Lampe Dr.
Witherspoon Student Center,81,WSC,Central,Raleigh,81.pdf,,,,44310,1991,26,1,1,13409011,,,1,6,26590,27089,4133000,3,14,2810 Cates Ave.
Wolf Ridge at Centennial,,,,,,,Silver,2015,,2014,3,,,,,,,,,,,,,
Wood Frame House (Lowcoastal),856A,P94,Outlying,Kinston,,,,,575,1939,78,2,1,92502,,,3,6,0,518,8000,1,14,200 Cunningham Rd.
Wood Residence Hall Bldg A,112A,WD1,Central,Raleigh,112a.pdf,,,,67617,1983,34,2,1,7383058,,,2,6,35087,35087,2421997,6,14,2531 Warren Carroll Dr.
Wood Residence Hall Bldg B,112B,WD2,Central,Raleigh,112b.pdf,,,,44457,1983,34,2,1,6628171,,,2,6,23476,23476,2010714,5,14,2521 Warren Carroll Dr.
Wood Residence Hall Bldg C,112C,WD3,Central,Raleigh,112c.pdf,,,,2363,1983,34,2,1,439166,,,1,6,901,1660,137094,2,14,2541 Warren Carroll Dr.
Wood Shop(Upiedmont),860G,Z37,Outlying,Reidsville,,,,,720,1950,67,1,1,74027,,,4,1,0,540,4000,1,14,1944 Wentworth Rd.
Wood Treating Plant Millstone 4-H Camp,864S,MCS,Outlying,Ellerbe,,,,,900,1952,65,1,5,144786,,,3,1,0,855,,1,14,1040 Mallard Dr.
Yarbough Chiller Plant,,,,,,-,,,38639,,,,,,,,,,,,,,,
YARBROUGH DR STEAM P,29,,,,,,,,17187,1930,87,1,1,30272688,17378604,14,3,2,1928,2256,1414000,2,14,
Yarbrough Dr Steam Plant,29,YDS,North,Raleigh,29.pdf,0.01,Silver,2014,17185,2014,3,,,,,,,,,,,,,2411 Yarbrough Dr.
ZOOLOGY-FISH-WILDLIF,971B,,,,,,,,670,1940,77,1,4,145874,,,1,1,0,637,,1,14,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
